donation_id,donor_id,campaign_id,donation_date,amount,method,status
DON00001,D0621,CAMP021,2025-01-11,3588.34,Online,Failed
DON00002,D0510,CAMP005,2022-10-03,544.85,Credit Card,Failed
DON00003,D0517,CAMP023,2022-06-13,534.64,Online,Refunded
DON00004,D0016,CAMP016,2022-10-12,3374.09,Online,Refunded
DON00005,D0532,CAMP020,2023-08-07,3447.56,Check,Failed
DON00006,D0743,CAMP003,2020-11-19,1741.31,Cash,Failed
DON00007,D0160,CAMP007,2020-10-12,990.94,Credit Card,Completed
DON00008,D0596,CAMP024,2022-06-25,643.08,Check,Failed
DON00009,D0412,CAMP011,2021-02-21,307.18,Credit Card,Failed
DON00010,D0729,CAMP018,2023-09-04,2024.69,Online,Completed
DON00011,D0365,CAMP018,2023-01-19,3620.54,Cash,Completed
DON00012,D0536,CAMP020,2022-05-06,4389.26,Check,Completed
DON00013,D0306,CAMP017,2024-12-12,3382.12,Check,Failed
DON00014,D0524,CAMP005,2021-10-24,1573.15,Check,Refunded
DON00015,D0854,CAMP009,2024-09-18,4675.67,Online,Completed
DON00016,D0615,CAMP014,2024-09-29,2595.02,Cash,Completed
DON00017,D0279,CAMP009,2020-08-09,2318.63,Cash,Completed
DON00018,D0355,CAMP021,2024-04-04,2523.74,Credit Card,Refunded
DON00019,D0584,CAMP021,2020-09-21,4584.37,Online,Failed
DON00020,D0905,CAMP024,2024-10-23,1255.02,Credit Card,Refunded
DON00021,D0190,CAMP011,2020-11-30,2180.56,Cash,Refunded
DON00022,D0708,CAMP009,2022-05-09,2447.01,Check,Completed
DON00023,D0092,CAMP011,2021-10-17,836.65,Cash,Refunded
DON00024,D0539,CAMP006,2022-06-24,2569.81,Online,Failed
DON00025,D0252,CAMP015,2021-04-25,4228.27,Check,Failed
DON00026,D0172,CAMP007,2023-08-31,1106.73,Check,Failed
DON00027,D0621,CAMP018,2022-03-08,1621.99,Cash,Failed
DON00028,D0703,CAMP024,2021-02-05,2208.03,Cash,Refunded
DON00029,D0871,CAMP007,2021-01-23,310.85,Credit Card,Refunded
DON00030,D0665,CAMP010,2023-04-15,3472.82,Cash,Refunded
DON00031,D0865,CAMP015,2023-09-14,165.27,Cash,Failed
DON00032,D0886,CAMP006,2021-07-18,3895.4,Online,Completed
DON00033,D0184,CAMP024,2020-09-15,139.65,Check,Completed
DON00034,D0909,CAMP010,2021-03-06,3170.84,Cash,Refunded
DON00035,D0648,CAMP015,2025-01-25,2607.12,Credit Card,Failed
DON00036,D0834,CAMP023,2020-09-22,3853.69,Credit Card,Refunded
DON00037,D0700,CAMP008,2025-02-25,2044.03,Online,Failed
DON00038,D0408,CAMP007,2024-02-14,3115.43,Credit Card,Completed
DON00039,D0601,CAMP024,2025-03-13,3730.74,Cash,Completed
DON00040,D0472,CAMP012,2024-02-29,4709.24,Online,Refunded
DON00041,D0232,CAMP014,2021-01-21,3276.54,Online,Completed
DON00042,D0934,CAMP021,2024-05-18,1119.45,Credit Card,Failed
DON00043,D0042,CAMP023,2024-07-26,484.56,Credit Card,Refunded
DON00044,D0871,CAMP019,2025-04-08,3585.87,Cash,Failed
DON00045,D0135,CAMP016,2023-11-02,4078.12,Online,Completed
DON00046,D0219,CAMP011,2024-02-28,4560.66,Check,Completed
DON00047,D0378,CAMP006,2024-03-27,3173.42,Check,Failed
DON00048,D0110,CAMP012,2022-12-19,1189.99,Credit Card,Completed
DON00049,D0006,CAMP020,2024-08-27,609.62,Credit Card,Failed
DON00050,D0058,CAMP007,2022-03-12,2927.3,Cash,Failed
DON00051,D0603,CAMP003,2022-06-13,158.49,Online,Refunded
DON00052,D0917,CAMP012,2022-10-14,3877.78,Cash,Completed
DON00053,D0492,CAMP009,2022-11-26,1469.2,Check,Refunded
DON00054,D0100,CAMP003,2021-02-21,2803.8,Credit Card,Refunded
DON00055,D0101,CAMP001,2020-07-16,3617.24,Credit Card,Refunded
DON00056,D0556,CAMP017,2022-06-25,39.63,Cash,Completed
DON00057,D0444,CAMP020,2021-03-10,3894.3,Cash,Completed
DON00058,D0910,CAMP010,2022-03-22,3399.1,Check,Refunded
DON00059,D0501,CAMP007,2023-06-02,343.22,Online,Completed
DON00060,D0008,CAMP021,2022-09-16,4209.66,Credit Card,Completed
DON00061,D0856,CAMP025,2020-08-21,1464.27,Credit Card,Refunded
DON00062,D0953,CAMP018,2024-05-21,2262.03,Check,Failed
DON00063,D0463,CAMP008,2023-09-23,1928.39,Online,Refunded
DON00064,D0225,CAMP005,2022-06-29,4334.2,Credit Card,Refunded
DON00065,D0862,CAMP022,2024-01-25,839.56,Cash,Completed
DON00066,D0935,CAMP025,2025-03-14,3364.67,Check,Failed
DON00067,D0643,CAMP023,2025-01-30,1938.48,Online,Completed
DON00068,D0104,CAMP010,2021-10-18,2430.39,Online,Refunded
DON00069,D0423,CAMP002,2024-12-10,3653.28,Check,Completed
DON00070,D0132,CAMP005,2023-12-05,3230.43,Credit Card,Failed
DON00071,D0363,CAMP023,2025-04-03,390.65,Check,Refunded
DON00072,D0518,CAMP017,2023-03-15,3659.48,Credit Card,Completed
DON00073,D0671,CAMP005,2023-01-08,2802.23,Online,Refunded
DON00074,D0099,CAMP012,2022-05-07,4503.67,Credit Card,Refunded
DON00075,D0394,CAMP017,2023-08-26,1625.89,Credit Card,Failed
DON00076,D0479,CAMP008,2025-04-12,2700.0,Check,Failed
DON00077,D0894,CAMP001,2024-04-29,3022.84,Cash,Refunded
DON00078,D0256,CAMP011,2023-05-31,1128.97,Credit Card,Completed
DON00079,D0668,CAMP018,2023-12-14,153.03,Cash,Failed
DON00080,D0307,CAMP022,2023-11-03,2831.31,Cash,Failed
DON00081,D0661,CAMP018,2023-08-30,802.9,Check,Failed
DON00082,D0353,CAMP001,2020-09-01,724.43,Credit Card,Completed
DON00083,D0497,CAMP007,2020-11-30,3810.06,Check,Refunded
DON00084,D0563,CAMP005,2022-03-17,4639.92,Check,Refunded
DON00085,D0679,CAMP004,2024-09-27,4183.75,Credit Card,Failed
DON00086,D0410,CAMP024,2022-04-15,4951.94,Credit Card,Refunded
DON00087,D0319,CAMP014,2023-08-17,4023.35,Check,Refunded
DON00088,D0328,CAMP005,2021-09-02,583.34,Cash,Refunded
DON00089,D0702,CAMP001,2023-09-03,510.72,Online,Refunded
DON00090,D0357,CAMP024,2022-03-15,4960.11,Check,Failed
DON00091,D0461,CAMP005,2020-11-08,2391.06,Check,Completed
DON00092,D0336,CAMP020,2024-05-22,3545.46,Online,Failed
DON00093,D0929,CAMP016,2023-09-29,2966.86,Check,Failed
DON00094,D0010,CAMP004,2024-06-28,4253.42,Check,Refunded
DON00095,D0561,CAMP018,2020-06-20,3082.55,Check,Refunded
DON00096,D0285,CAMP022,2022-03-19,678.97,Check,Refunded
